"categoria","Tiempo","uno","dos","tres","cuatro","cinco","deuno","dedos","detres","decuatro","decinco"
a,0+0,466,49.5,0.25,0,0,94.5542172512681,27.5090894069578,0.433012701892219,0,0
b,0+45,430,66.75,0.75,0,0,64.865244931319,65.1128827498829,1.29903810567666,0,0
c,0+90,415.75,64.75,2.5,0,0,65.0514219675481,59.3774999473706,4.33012701892219,0,0
d,12+0,376,43,2.5,0,0,85.9447496942076,25.377155080899,4.33012701892219,0,0
e,12+45,331.75,65.5,2.75,0,0,74.9845817485168,14.4654761414894,3.11247489949718,0,0
f,12+90,326.75,57.25,3.25,0,0,83.1515934904437,14.6180539060437,3.69966214673719,0,0
g,24+0,221.5,70.5,23.75,4,0,39.5316329032839,15.4353490404331,11.1439445440113,2.73861278752583,0
h,24+45,191,72.75,24.75,4.25,0.25,27.0832051279017,26.4893846663149,9.93415824315276,1.29903810567666,0.433012701892219
i,24+90,183.25,70.25,30,6.75,0.25,25.1234452255259,9.93415824315276,9.05538513813742,4.71036092035419,0.433012701892219
j,36+0,263.25,74.5,24.5,6,0.25,25.5281707139387,23.092206477511,5.02493781056044,4.63680924774785,0.433012701892219
k,36+45,234.75,62,25.5,6.75,0.75,8.8423695919137,14.8155323900291,5.54526825320471,1.08972473588517,0.82915619758885
l,36+90,242,71.75,31.75,6.25,0.75,18.8812075884992,16.9022927438854,3.63145976158349,2.77263412660235,0.433012701892219
m,48+0,216,78.75,29.75,12.5,1.5,21.435951110226,19.9921859735248,5.35607132140714,6.22494979899437,1.11803398874989
n,48+45,219.5,79,31.25,11,2.5,17.6988700204279,30.4712979703852,4.71036092035419,2.54950975679639,2.69258240356725
o,48+90,250,75.75,31.25,9.75,2.5,30.9273341883842,27.206387117734,3.41869858279434,2.8613807855649,2.29128784747792
