categoria,tiempo,senderosς,senderosμ,celulasς,celulasμ,nCompς,nCompμ,Dgrς,Dgrμ,LCCSnς,LCCSnμ,LCCSeς,LCCSeμ,LCCSeς,LCCSeμ,LCCAPLς,LCCAPLμ
a,0+0,0,0,0.978361929,4.524859025,61.85214224261,458.75,0.012214233500306,1.04325,1.4142135623731,8,1.7853571071357,6.25,1.7853571071357,6.25,0.27666513809556,1.8463669950739
a,0+45,0,0,2.364433766,4.852984055,0.506602558568841,445,0.023108440016583,1.045,1.4142135623731,8,1.4142135623731,6,1.4142135623731,6,0.31229346706756,1.9104833743842
a,0+90,0,0,2.286758743,4.991286961,1.35231301366011,438,0.022320114247019,1.04275,1,7,1,5,1,5,0.18277726735902,1.5693993506494
b,12+0,1.567963774,2.287326364,0.878343038,3.646278236,87.671260969602,223.5,0.20307310875643,1.37025,25.974747351996,32.75,28.882304270955,33.75,28.882304270955,33.75,2.5256700219079,4.857845982123
b,12+45,1.832037168,2.864680909,0.360326045,4.066981307,100.663734780704,184.25,0.3059496486352,1.51675,96.000976557533,91.75,110.02130475503,99.25,110.02130475503,99.25,8.0635170122765,10.232100744676
b,12+90,2.418418098,3.73235678,0.577066986,3.897678041,110.782444457594,161.5,0.38704715474991,1.64,167.23934943667,187,193.97470840293,211.25,193.97470840293,211.25,8.8888492906591,13.943462120146
c,24+0,1.771102096,9.38633895,1.271989797,5.845703092,5.93190525885234,9.25,0.061079354122322,2.69075,78.617348594315,895.75,119.19810191442,1219.25,119.19810191442,1219.25,0.71581697969503,23.516354448502
c,24+45,0.716054944,9.364887187,1.696479193,6.383409357,3.53553390593274,8,0.0095,2.6975,94.399086330324,911.75,126.0793400998,1241,126.0793400998,1241,0.91124156341309,23.774844265311
c,24+90,0.85010246,9.48013251,0.706206466,6.04676659,4.38035386698381,11.25,0.052836422096883,2.64275,64.138034737588,867.75,90.199778270237,1162,90.199778270237,1162,0.41238175925121,23.628574435841
d,36+0,4.021873514,12.42173392,1.702434568,7.174522671,3.69966214673719,7.25,0.081940145838288,2.74975,270.32977545953,1234.75,421.43052511654,1717.75,421.43052511654,1717.75,2.7822204904092,26.645085457411
d,36+45,3.767971149,13.22626952,1.128453195,6.98333323,1.6393596310755,5.75,0.041602283591168,2.7935,131.10563489034,1351.75,210.69468431833,1897.5,210.69468431833,1897.5,1.6586195395785,26.963407269224
d,36+90,4.115916365,13.2544814,1.738159297,7.522623702,3.24037034920393,7,0.057395557319361,2.7905,205.65687442923,1292.5,308.96065688045,1815.75,308.96065688045,1815.75,1.7784151444426,26.604802905857
e,48+0,3.871790303,14.22710512,1.508999706,9.796115491,3.69966214673719,7.25,0.03191688424643,2.78725,170.67860879442,1246.75,250.51185101707,1749.25,250.51185101707,1749.25,2.1100521009314,25.612644592503
e,48+45,3.467145975,15.85824651,1.863149071,10.0527453,2.69258240356725,6.5,0.020754517580517,2.7765,114.46697121878,1231.25,161.41929097849,1717.75,161.41929097849,1717.75,1.6869180275412,25.956233773353
e,48+90,1.995268488,17.28114151,1.425924321,9.813237795,1.92028643696715,5.25,0.047767012676114,2.79475,90.551090551136,1453,135.09348614941,2036.5,135.09348614941,2036.5,1.5667624801909,27.810699622996
